#{"t_start": 1747055644.8129451, "env_id": "None"}
r,l,t
-5342.643333,81,8.113101
-4887.633333,81,14.494103
-5823.386667,81,21.368109
-3980.576667,81,28.649323
-4072.766667,81,35.991964
-2812.1,81,43.948526
-4271.276667,81,52.343855
-3960.583333,81,60.323785
-2776.536667,81,68.390085
-4239.176667,81,76.210144
-4087.686667,81,84.258898
-4021.67,81,91.945613
-6005.1,81,100.063998
-2568.666667,81,108.260729
-5158.62,81,116.354801
-5823.22,81,124.749958
-5855.44,81,133.082781
-6649.95,81,141.321317
-4481.473333,81,149.138799
-4564.283333,81,157.066697
-6033.043333,81,164.291468
-4596.66,81,172.105914
-5548.86,81,180.574915
-6143.163333,81,188.647831
-3888.16,81,195.688843
-4839.276667,81,207.075455
-3236.553333,81,214.781531
-5236.826667,81,222.606521
-6620.453333,81,230.709103
-4041.076667,81,238.821929
-3884.98,81,246.128994
-3320.893333,81,253.441322
-4222.26,81,260.327369
-5003.936667,81,267.952873
-3180.546667,81,275.480794
-5038.513333,81,282.873485
-3706.806667,81,291.034223
-2855.283333,81,299.485579
-5241.026667,81,307.266696
-5483.723333,81,315.102025
-5438.423333,81,323.038523
-4796.596667,81,330.43188
-4500.77,81,338.118855
-3334.383333,81,345.805432
-3124.386667,81,353.92699
-4474.903333,81,360.747165
-5295.886667,81,367.793201
-4948.36,81,373.91332
-4726.443333,81,381.283406
-6095.39,81,389.606237
-5094.196667,81,399.12894
-4580.5,81,407.447569
-4691.63,81,414.910679
-3841.44,81,422.509035
-5663.756667,81,430.032526
-4418.956667,81,437.858523
-5239.353333,81,445.500916
-3635.453333,81,453.435807
-5633.6,81,461.399434
-3752.943333,81,469.528974
-3995.343333,81,477.418066
-3717.483333,81,485.438549
-3419.98,81,493.431317
-4073.92,81,501.178365
-5535.443333,81,508.909713
-3621.593333,81,516.54641
-5065.236667,81,524.409981
-4509.44,81,531.79975
-4638.743333,81,539.743595
-4370.67,81,547.356925
-3831.636667,81,555.036312
-4877.46,81,562.974029
-4021.89,81,570.648462
-5523.916667,81,578.085756
-3791.473333,81,585.675497
-5552.536667,81,594.19443
-5419.41,81,602.077054
-5267.823333,81,609.768532
-5250.67,81,617.696719
-4398.35,81,625.412697
-4956.203333,81,633.344295
-2939.71,81,641.057777
-3501.26,81,648.84256
-4599.026667,81,656.497802
-3837.573333,81,663.952573
-5066.516667,81,671.681923
-4943.583333,81,679.507206
-5292.903333,81,687.36542
-3559.59,81,695.142381
-5561.32,81,702.732265
-3804.436667,81,710.337627
-4590.06,81,718.100302
-3421.086667,81,725.639491
-3180.02,81,733.478214
-6545.766667,81,741.109081
-3107.783333,81,749.146503
-2811.23,81,756.984526
-4635.373333,81,765.465323
-3013.183333,81,773.197229
-3234.456667,81,781.403721
-3101.003333,81,789.664146
-3688.11,81,798.613111
-5585.943333,81,805.938529
-2331.87,81,813.691013
-4199.92,81,821.014133
-3790.256667,81,828.540995
-4404.24,81,837.012342
-4872.01,81,843.976685
-4382.24,81,851.413022
-5359.083333,81,859.158737
-3769.596667,81,866.870086
-3934.63,81,874.772702
-4667.783333,81,882.041915
-2878.546667,81,889.19444
-3822.54,81,896.880445
-3692.296667,81,904.040448
-3336.616667,81,911.15468
-3183.34,81,919.139625
-3371.116667,81,926.746387
-5612.946667,81,934.731066
-5037.276667,81,942.499163
-3704.2,81,949.641942
-6573.726667,81,958.017882
-4513.033333,81,966.202004
-2317.72,81,974.10989
-4467.116667,81,982.02667
